,geolocation_id,geolocation_lat,geolocation_lng,city,state,id,customer_id
7331,1155,-23.52878808243405,-46.664404203300826,SAO PAULO,SP,1458,bc6123686b421b9084028c34499824c4
7655,1122,-23.531280767701485,-46.637260391482464,SAO PAULO,SP,1459,cee868431579ba2636577e88ccedeba6
8180,1150,-23.532255303364263,-46.662756071469765,SAO PAULO,SP,1460,b364374999f56fe16589dd6eeaf7f0b0
8455,1123,-23.53071626172888,-46.63792772799936,SAO PAULO,SP,1462,2aa73498fc6fe0afcdc0804f3080ac72
8767,1153,-23.52811869885744,-46.65645154579032,SAO PAULO,SP,1464,fd8a555de51282eecd0be08daf81f3f7
9820,1136,-23.52350959838998,-46.666944167638064,SAO PAULO,SP,1466,3dfe1e8914daca38e62f48e2bd9fee62
9858,1103,-23.53538864556528,-46.631747708436734,SAO PAULO,SP,1470,24c38fd30a0c822c183c67d3720f2c47
10098,1151,-23.527788191788307,-46.66030962184773,SAO PAULO,SP,1474,4e7b3e00288586ebd08712fdd0374a03
11025,1120,-23.53076048626577,-46.639216010416,SAO PAULO,SP,1478,65f05162299b92d62d60d74b830dcc97
11157,1156,-23.531495310835297,-46.66274838217697,SAO PAULO,SP,1479,48eea89af40f6e6691d00c5ab16a1f22
11622,1106,-23.53249635607949,-46.62640566388715,SAO PAULO,SP,1482,a2c32079da05c60d8e39eee66b12530c
11688,1124,-23.527367392723217,-46.63188348903572,SAO PAULO,SP,1484,dd1a12426ed78bacc77fd02911ed1117
11727,1121,-23.524588477378973,-46.634392141554585,SAO PAULO,SP,1487,b9e4d8c0a644aaa42e1eff5912fe8316
11899,1141,-23.52011919677996,-46.66584000098096,SAO PAULO,SP,1489,c220ab170a166e41e97034894f1ff1e0
12379,1102,-23.52261021648681,-46.62942387523806,SAO PAULO,SP,1491,1d6f2e4efdab5db04ec1b691e00cd664
12406,1137,-23.51957274271452,-46.654271565497176,SAO PAULO,SP,1497,565764f24ffe1f2d7d54286cfa7b4a42
12526,1140,-23.51636226197676,-46.66810176204384,SAO PAULO,SP,1498,4cd81e890532dc8cf4ee9c2667629e43
12784,1125,-23.52479060257088,-46.64113278581674,SAO PAULO,SP,1499,e192295a80bc140473d53f22afc589f4
12886,1131,-23.529158318627697,-46.64134706148645,SAO PAULO,SP,1502,128664a3f38d78795c698c380488a5dd
13374,1135,-23.52122103136361,-46.65296293450282,SAO PAULO,SP,1503,3601ca87ad49d32ca2bc47dfbfad434c
13969,1138,-23.5188254074384,-46.65562359824576,SAO PAULO,SP,1505,ccc28b057579c48422b6181c30dfe12c
14199,1132,-23.51929180460501,-46.64980089647412,SAO PAULO,SP,1516,5e0116ac8f05deda37c92a3ab3788720
14325,1108,-23.52375957536492,-46.6324154521322,SAO PAULO,SP,1518,5134c65c1978c45add46996351adb242
14329,1107,-23.522004902014046,-46.63397365860703,SAO PAULO,SP,1520,9380c4d3c24f6c62c443c8da0f2f0ecf
14386,1154,-23.53158118373822,-46.66174681473255,SAO PAULO,SP,1532,1d3bc71558bfe150123a7107517e2edb
14980,1127,-23.522527476282445,-46.637587948381295,SAO PAULO,SP,1540,2a1dbcc0c26487ca29fe53b16de930a5
15097,1139,-23.52016937246812,-46.66149387621901,SAO PAULO,SP,1556,780fb7cdabcbcf7c7d94e3e4ae1fd577
15715,1152,-23.52916893282939,-46.65214846073055,SAO PAULO,SP,1565,1a1aca3aea66ecc5fa26e1994aad30d6
15955,1134,-23.51867680707737,-46.6531159131789,SAO PAULO,SP,1570,0ff52546be432c8346d431ad81c0a029
16060,1144,-23.52362350735759,-46.67201579877662,SAO PAULO,SP,1590,ee13725bd807d030e78f60a8113d120e
16114,1105,-23.533744232586976,-46.63063486274458,SAO PAULO,SP,1619,e998acff98f91507e5d00ca8b10e76e2
16144,1129,-23.522209449622046,-46.64255199861503,SAO PAULO,SP,1627,fb0e90cefa6143ef5234ba910b193194
16339,1202,-23.530243903687488,-46.65091042186511,SAO PAULO,SP,3284,8eb88eb1066f4e8b52dcc1b739652b9c
17187,1221,-23.54601532944774,-46.64900196003804,SAO PAULO,SP,3286,ee2cf50cca8c6f163c99082f8ed86c1a
18187,1217,-23.533844773241405,-46.64940663613022,SAO PAULO,SP,3287,067c9951289da2e2468121aa6e46ec91
18361,1243,-23.54946977906979,-46.65509829793992,SAO PAULO,SP,3288,7c849322a8f5b9bbeba9c11ae26b85ea
19321,1203,-23.537119379681474,-46.64438743865777,SAO PAULO,SP,3289,e0064e1417dc16cadb558d1c5c0db377
19591,1231,-23.5367081559813,-46.6596418411045,SAO PAULO,SP,3292,519006a9906e15e8141109ff81be9365
21223,1257,-23.542921655288804,-46.687539331669456,SAO PAULO,SP,3293,ef48ea66fb39a13e1310b36b676e29e7
22471,1216,-23.53597285667968,-46.651407002063245,SAO PAULO,SP,3294,88bfbe93f1c2d378de7fb22d588f9661
22711,1230,-23.537763450458765,-46.65760851679266,SAO PAULO,SP,3296,dcb6e7bc4e65d815025d0aa14349a4ca
28436,1226,-23.537000609210025,-46.6516650545329,SAO PAULO,SP,3301,dc30f5f92dea8459e7b87805306934d7
30704,1213,-23.536400280050746,-46.64003758881069,SAO PAULO,SP,3303,eba0792cf35e2ab2db2dcb391adb5ab4
30750,1227,-23.537290117980763,-46.65443089812821,SAO PAULO,SP,3304,22ea9677582d0e8c4ceeaa2a306fd486
32775,1240,-23.54378694284137,-46.65861209437926,SAO PAULO,SP,3305,6f8d2b555e7c26023c890ea54c862955
34725,1258,-23.54499310130417,-46.685597180824026,SAO PAULO,SP,3306,e00fde757e39c319e1a52b9d1adf298b
37623,1220,-23.543269575076465,-46.6455519528247,SAO PAULO,SP,3310,1be4bdc654d6c8852647215506507d72
38231,1211,-23.53582223582903,-46.651605049299015,SAO PAULO,SP,3311,b14839b9d2cc09f5f25b2a74bff673b9
38573,1214,-23.539690634196997,-46.6462616555486,SAO PAULO,SP,3315,4427125d8551590623a0e4dbbb2e25ff
38933,1204,-23.53680115237462,-46.644416271856414,SAO PAULO,SP,3317,0e203af4ca880dcead36325e5e0c2ac9
39123,1234,-23.537055499855768,-46.66361722052618,SAO PAULO,SP,3318,39f707c5c87d5f8c8e4a26ce95292a81
39441,1228,-23.54839279655493,-46.659018341392965,SAO PAULO,SP,3319,51f11cd231668386157c2a09980fa895
41337,1223,-23.543752665696253,-46.64446732682933,SAO PAULO,SP,3321,68dc0182e4cf141c4b86924a0ba85937
43130,1229,-23.54108734139297,-46.65733920275257,SAO PAULO,SP,3323,333b7d62978a1cdcc338e2545aeea45f
45920,1232,-23.53676737440136,-46.65507313113856,SAO PAULO,SP,3325,d87f81e4338de8176d2ba14d81164666
48715,1218,-23.531544680824037,-46.65066866833055,SAO PAULO,SP,3327,4d92a3b7a734fdf21d16feba6dbdd95e
49045,1238,-23.54443774132954,-46.65181342394259,SAO PAULO,SP,3328,89aac25164a5f84e4302a43721d0dfd9
51327,1224,-23.54038952262104,-46.64958335123206,SAO PAULO,SP,3329,de27e7ae8adefd14b55e07db50c5c037
55191,1205,-23.53176047100233,-46.64592571455356,SAO PAULO,SP,3336,8300b253882166d54df794107d32f0bc
55220,1244,-23.54510938911653,-46.65972814683471,SAO PAULO,SP,3337,5f235effbfef1537095b1024ab902244
55808,1259,-23.54335652677597,-46.683946373016354,SAO PAULO,SP,3344,5a761ff24ca0a248f82d71235398e852
56238,1239,-23.544602822090148,-46.65543934860632,SAO PAULO,SP,3354,db846bcd3ea0ef56effb856bd0266a90
57748,1222,-23.54575486372553,-46.65030098889149,SAO PAULO,SP,3358,6281905dcea7ec6f9ed8baa3a8f61b21
60340,1201,-23.534080522072767,-46.65184199999999,SAO PAULO,SP,3368,d747bc7445e6f8c4de1bb9a4df39191c
60795,1215,-23.53655002580364,-46.649225050085455,SAO PAULO,SP,3388,4c8042e2e4ec74727a56afeadfa7ed68
60957,1248,-23.547307547319537,-46.66789155107045,SAO PAULO,SP,3390,0280ead6134bfe639866306f1f0258ab
60974,1219,-23.540223573951277,-46.645277138092126,SAO PAULO,SP,3395,3c0c18b834b8f01bc414c2a3f4752fd1
61324,1210,-23.54181492728946,-46.64390112337694,SAO PAULO,SP,3402,5d13d5b488df88681ff37ffcd135b1df
61558,1235,-23.53645971856428,-46.66424678602334,SAO PAULO,SP,3404,07a4bb60f62e5ce83b63a08f0cd050bc
61606,1209,-23.541048513185963,-46.64184841687344,SAO PAULO,SP,3422,427de05ce0608c08a25593eb6e083123
61926,1251,-23.54700826311385,-46.67399273506846,SAO PAULO,SP,3432,007182cdc3e8e2d3d4ce0b00b9004630
61980,1242,-23.547526626983625,-46.65580327269316,SAO PAULO,SP,3436,ef1615358c72dae1c068aedc495a13f3
62358,1241,-23.54567660866176,-46.6569934730798,SAO PAULO,SP,3464,93bdcb0a5bd6fdcaf5223c93174028ff
62820,1233,-23.540299470713855,-46.66278360519932,SAO PAULO,SP,3466,b8161d486fb5b343ce446bac70ee5496
63588,1206,-23.53292256174625,-46.64500926712456,SAO PAULO,SP,3475,dc837aeb1f809812f4ba96906c33a528
63675,1207,-23.54115152870862,-46.6371153457636,SAO PAULO,SP,3494,16204c2d6dfa2b5ab37b70091272a174
63795,1255,-23.545782460730543,-46.68119826089217,SAO PAULO,SP,3536,8ab7e3768778f94dfbd1d4511e986dfa
63849,1254,-23.541075775463103,-46.68229311281671,SAO PAULO,SP,3571,d3878d302b1f3a54da025c3c593c48cc
63963,1225,-23.54064714772717,-46.648251782670506,SAO PAULO,SP,3586,e6ca2ee6bc5a14cf204a7e8b76a0c2cf
64178,1252,-23.54173205190716,-46.67710841548848,SAO PAULO,SP,3591,eac7448820de7d9ad1425dc2b33568e6
64454,1208,-23.540822507357586,-46.6397147149576,SAO PAULO,SP,3633,6a65261dcad2b1ac3c5a6c25d473809e
64492,1237,-23.544317693577312,-46.66982279920932,SAO PAULO,SP,3677,d4b14205ecda3b864430a215e488d3b6
64500,1250,-23.548106335564583,-46.67255083804609,SAO PAULO,SP,3716,516183bb499f5c0a1c467cad231e5cfc
64558,1246,-23.55259069386578,-46.6664048798257,SAO PAULO,SP,3992,132da540f9f59c2333c07b0f00d781f9
64575,1253,-23.54320796973291,-46.680244701079125,SAO PAULO,SP,4941,7aad6c872be392c3d4170dd41b5f2e83
64582,1256,-23.54856753595123,-46.683293049685474,SAO PAULO,SP,5320,5206bdc4d7ecb9869166f99fc635a5b1
64588,1323,-23.56360092810872,-46.64096891541434,SAO PAULO,SP,7697,63150e501182768887ac59b79c6b8546
65548,1303,-23.55001132944774,-46.64818240521669,SAO PAULO,SP,7698,78dde783f1d86bc60a9740ff31937c39
67693,1321,-23.55896103857696,-46.64089188579832,SAO PAULO,SP,7699,ee23d61fedfc4227bb0e188654c28d08
70365,1333,-23.56356993894623,-46.65184216708981,SAO PAULO,SP,7701,da39612672f966a88588320e7dbacc0d
71233,1331,-23.562327520947598,-46.6503277425703,SAO PAULO,SP,7703,12729283fd440bf783ab9abc2ce60385
71763,1307,-23.549360699694148,-46.65412441687346,SAO PAULO,SP,7704,7dc0e5a1cd93b2037b5705566f784f8c
80753,1318,-23.56503810268915,-46.64731633542034,SAO PAULO,SP,7705,74fd37fc8813d6909eaf43e1eaaa07f4
81609,1322,-23.564189902302505,-46.64356963725542,SAO PAULO,SP,7706,f172ee35b4d9ef56e957d5e68a545e80
84111,1308,-23.555182505135885,-46.65226234401868,SAO PAULO,SP,7707,2e96fa6d55b9732013caed9866e2552d
85684,1310,-23.56495811933758,-46.65213530737497,SAO PAULO,SP,7711,3f5939e06e89efd9e9ca8ef3ab9d68c7
89194,1306,-23.55433380183505,-46.64967363918865,SAO PAULO,SP,7712,8b6bdea286edd9e9c17e7aa7b83bba33
94024,1301,-23.550812799901816,-46.65525802969017,SAO PAULO,SP,7713,56e48a07ed300dcb0e37986fde979433
94500,1302,-23.547650962519555,-46.64357747515727,SAO PAULO,SP,7714,a28fc82d5947b4c781e56085385d7600
94854,1312,-23.55364600943506,-46.64827785290551,SAO PAULO,SP,7716,713ac4139fc3aab8b2e00bd5644295fc
95664,1316,-23.55298158090484,-46.63977389064573,SAO PAULO,SP,7718,21b9f862d8113b3b25bb49910352483c
96234,1317,-23.56281094772712,-46.64538049222014,SAO PAULO,SP,7721,f98b1cd40f447698ca15964728343a7c
98282,1313,-23.556513287803007,-46.65025319729151,SAO PAULO,SP,7723,5077e24e3da9e7c78a12dcc24bd7fc42
100115,1324,-23.551359454065437,-46.64339075477531,SAO PAULO,SP,7729,e49b50780a322146eecff0b0b3603454
100180,1314,-23.55291235720467,-46.64737305981301,SAO PAULO,SP,7731,dd22f1d0142d9698c0848674e843525c
100540,1327,-23.56521929669917,-46.6451517253736,SAO PAULO,SP,7734,982b5a55e0c254aad4e8a083ed3e2072
101651,1304,-23.55217944962204,-46.652991998615015,SAO PAULO,SP,7738,4492aedc05bb37e4e724c2aeaf21e079
101973,1332,-23.559874596168275,-46.65312715543304,SAO PAULO,SP,7745,58a3dd1d3e66c3d3331eb095a93876a5
102157,1309,-23.55752427560734,-46.65837101249348,SAO PAULO,SP,7746,e6d43a7376b7de701411a48b85d1375d
103525,1326,-23.558908285042403,-46.64517207853889,SAO PAULO,SP,7756,770e1923ad55d1a35e2c184986e917d2
103651,1319,-23.55156260866176,-46.64021297307979,SAO PAULO,SP,7759,360bddb0078f97dbd1e8938d56e1bcde
104096,1315,-23.552592988343235,-46.64068338732753,SAO PAULO,SP,7760,ddf7eddfa863931d992313aa1b1ccf79
105071,1325,-23.56040415015292,-46.64409070038665,SAO PAULO,SP,7763,12c49eaf0f0176c573586eaa52d234f7
105251,1329,-23.563145744936214,-46.64661879892085,SAO PAULO,SP,7768,f34f65770fa4ed98ee4adfe53eead50a
106199,1330,-23.556817623925213,-46.64986083625707,SAO PAULO,SP,7774,9be83b1a15980ed71eadb4dff917fa29
106691,1311,-23.569059783273147,-46.64740767660342,SAO PAULO,SP,7791,fdf3a5bebc490cbd7a8512395e6cb12e
115007,1305,-23.556083049685476,-46.658022684978974,SAO PAULO,SP,7792,e28848a09b5a8507b3f864b74c9a7d22
115133,1320,-23.558843483207344,-46.639744197616686,SAO PAULO,SP,7884,6637874c14404b65a5c59c8ab576c86d
115189,1328,-23.55542941271852,-46.64533779225576,SAO PAULO,SP,7925,4b98719a17e513d97fe6d782d6e93f25
115365,1402,-23.58406691212703,-46.66998067037748,SAO PAULO,SP,11390,e6b233097521bf30700128ee0c424a5f
115587,1409,-23.5613664276935,-46.657593869005645,SAO PAULO,SP,11393,08ff6024ff72930a211cbbfc6f8c51a9
118317,1421,-23.565358896474127,-46.65789022009349,SAO PAULO,SP,11395,f408514ea6598d6b04a3ff8f2a2ae7aa
119516,1423,-23.568918203156603,-46.656995139736914,SAO PAULO,SP,11397,97b5f2f6aafce8ce852721e5458caa49
125340,1403,-23.563494723007683,-46.64829324424374,SAO PAULO,SP,11400,ad0cff75dce98e304964d36a660ca06d
130100,1455,-23.580690704974277,-46.68751888037395,SAO PAULO,SP,11401,079da973ecd0fb654da4ffdb946c9ea1
131549,1401,-23.569747571977175,-46.65100357197719,SAO PAULO,SP,11402,8070cecab3f3dbd764a549623cfa6243
132296,1410,-23.558595737434405,-46.65657075535223,SAO PAULO,SP,11403,e3f80f0f73a4b146a20671cbb8291ee6
134018,1453,-23.583435663338896,-46.68646270038665,SAO PAULO,SP,11404,9b07642438e9eacf96571117388677ed
135656,1415,-23.551840037191976,-46.65455309547579,SAO PAULO,SP,11405,a32e9c8f717ff0098cb8f36ac6ba6362
144907,1416,-23.55951039494492,-46.66706390175425,SAO PAULO,SP,11409,25b1a4dce6e22c03b3f25ea737690e7f
146623,1445,-23.568346382739897,-46.68910543089613,SAO PAULO,SP,11411,93d53c5c83afb68e1063d463efcd99e0
146686,1424,-23.56816235942637,-46.66117892867444,SAO PAULO,SP,11413,075ad0fda24dab7269482d16b193c87d
148998,1422,-23.55978441771017,-46.6660792610364,SAO PAULO,SP,11414,29595f742e9d97c97b688cbae3d8f175
151233,1408,-23.56902716625309,-46.66154015459633,SAO PAULO,SP,11416,99b81369c2f7870fee6166d01c7a5e02
152193,1419,-23.557767998615013,-46.662673347769605,SAO PAULO,SP,11418,45b25874ff6ec2e66c207386ac05c802
155379,1414,-23.56362276547979,-46.667603824167614,SAO PAULO,SP,11419,43120eb3c2526e5eba344d7b8514c7a0
155863,1452,-23.57773070107914,-46.686496076317205,SAO PAULO,SP,11420,33ac5a0d983f8f8905499a9f926086f5
157839,1451,-23.583489065785624,-46.68508055092622,SAO PAULO,SP,11426,f63cb8460e0b173006fa7e7bf9cc71be
161316,1411,-23.566090714409345,-46.66660173313523,SAO PAULO,SP,11436,36b9f7098dcb4280c45ae8f617645db6
162426,1406,-23.56582006549717,-46.65801073994457,SAO PAULO,SP,11440,21f5fa238d74db2e4dfc38d2e6d4bf94
162514,1454,-23.582148872612336,-46.68638063183105,SAO PAULO,SP,11441,e69d6b0170d42884fd9c5623edd97b0a
163886,1426,-23.562597147293012,-46.66968807621716,SAO PAULO,SP,11443,eec4a44316a2c73ef67187fad035a884
163941,1413,-23.55863183097696,-46.66070142630853,SAO PAULO,SP,11445,fb31ae52945c45377e1ba9644b7f78e5
164058,1433,-23.58188488758732,-46.66848679753589,SAO PAULO,SP,11447,3a03bf7cb204cf7573e6e88b6ff92c1e
164139,1427,-23.573515117952592,-46.66112293352187,SAO PAULO,SP,11451,19e73590fcf381227b1cd26efb6fffca
164215,1405,-23.566964123780973,-46.65698270719597,SAO PAULO,SP,11458,9a6f678fd57a40dc5010a7651ef0b916
165425,1435,-23.579681908967608,-46.66963177269314,SAO PAULO,SP,11462,150737a479a6aa90c2ff14a585542a70
165577,1449,-23.576292199001667,-46.68142310352587,SAO PAULO,SP,11467,dca00fb1b6171b7131da91f9df6592ac
165608,1425,-23.573552595331563,-46.65957990507245,SAO PAULO,SP,11480,d269e75ade2fbc369f8225b85b1ef069
166124,1430,-23.881629353829144,-46.643818799723405,SAO PAULO,SP,11492,a48acf545fc196fe1a22e67ba443504e
166146,1404,-23.56994326977895,-46.657093704685806,SAO PAULO,SP,11493,9a3aaf9447f2fbd34372e69398b2ede3
167092,1420,-23.569103137659432,-46.65120326741303,SAO PAULO,SP,11499,be5c0855b03da1ef3585c3c0b29cd389
169084,1442,-23.56370226740048,-46.67529085698279,SAO PAULO,SP,11501,2a612257efe760db38fa27d6e45f9d6f
169204,1407,-23.5784800999192,-46.67516750652087,SAO PAULO,SP,11508,11f4c7384d8debfbb64acf9c9a44bc95
170095,1418,-23.56312173510022,-46.656566708353616,SAO PAULO,SP,11510,72cb2f7e00c6b47c25afdd7ea20ea3f2
170223,1443,-23.56750865000869,-46.68471805799536,SAO PAULO,SP,11522,d47db9098abd035789999ed3185fb607
170262,1434,-23.57791700859833,-46.66945260115993,SAO PAULO,SP,11535,3c59cb3e5e8348b4f5303307f6c6048a
170378,1457,-23.57883550069249,-46.69092820399332,SAO PAULO,SP,11572,73f958ad1ba68bf3c7f01cae085ed153
170405,1417,-23.56687036219633,-46.4729258613596,SAO PAULO,SP,11586,c34beddc345e97b15bb556100207a176
170830,1412,-23.5644233366611,-46.66684085068379,SAO PAULO,SP,11587,fb545b1c12acfe1a72c0e57c087f9029
170868,1448,-23.57741669608748,-46.67817482139765,SAO PAULO,SP,11594,02af9983dee3e98a57adc7b02f17de3a
170955,1456,-23.578504155433038,-46.690118296987634,SAO PAULO,SP,11617,978fa5a467a746e14b62c2cbab1a261a
171083,1432,-23.574420691644068,-46.66422198695826,SAO PAULO,SP,11642,6f0417a5db860fa53ef4542989cc35f0
171102,1429,-23.57524108520401,-46.66307398459231,SAO PAULO,SP,11744,d55a841bbeba831f8dc6d1d5e81c908f
171135,1450,-23.574925477927227,-46.68505199999999,SAO PAULO,SP,11745,480dc46515697aa029be23aca93a58a8
171193,1440,-23.56448527782904,-46.674418610595005,SAO PAULO,SP,11774,00bf225ae2b2d6a141e31acf971c4a03
171217,1438,-23.570325577009708,-46.67299258050082,SAO PAULO,SP,11835,cad3adb2a6965a5e1180a68ee254e2cf
171227,1444,-23.605675658895493,-46.74544468220901,SAO PAULO,SP,11977,2b3cca7c1075363076b3ef74f31c30e8
171265,1447,-23.572517679150597,-46.680710766460734,SAO PAULO,SP,12022,4818f4fe96d4948850d3b4673feb1da8
171293,1431,-23.578166638380598,-46.66288281851213,SAO PAULO,SP,12232,78d4ede5c759a45ff8a456070ae1c11d
171306,1526,-23.56690212960936,-46.6300592031566,SAO PAULO,SP,15967,7cc2f5bfeab9cbfdf0e4b9d29a35e898
172890,1509,-23.567590529834398,-46.63545150721337,SAO PAULO,SP,15968,e8c05ac29ee1a6620c6655ed75659890
173534,1504,-23.56375858312654,-46.63899210115993,SAO PAULO,SP,15969,c667d4a9f7b5fbc11fd2c610f27f731f
174722,1536,-23.56253963239443,-46.622343972359054,SAO PAULO,SP,15971,ba6845ad2c65cc4403e9df8f292d5d36
175401,1535,-23.569618023313524,-46.62490078227243,SAO PAULO,SP,15972,d6f0492fa0c4d9bc33a27ef6fe2c33a7
175841,1534,-23.56284740383172,-46.62391126354653,SAO PAULO,SP,15976,780b36c3e066c0251df695c5ce83994e
176561,1514,-23.55306435468261,-46.62768625580495,SAO PAULO,SP,15977,033ccdcc580c85fd79e294166214d562
176690,1532,-23.572060847625384,-46.636136837497816,SAO PAULO,SP,15980,64e2e80c6c053f95af9f072968fc8196
179858,1542,-23.57081105190717,-46.62114560866177,SAO PAULO,SP,15981,d6df67c855b6f445879822f6346dc45d
179907,1548,-23.578346556754592,-46.614710870390624,SAO PAULO,SP,15983,bf239a3d9e5fab72059537d02b201d37
180754,1543,-23.575755845951942,-46.62009625506377,SAO PAULO,SP,15985,a3825afb142aa6b241b448d37792caea
181060,1544,-23.576922503462445,-46.622911919095145,SAO PAULO,SP,15987,14eef4c5daa9762a288b6c4b9372e3f0
182068,1546,-23.576252951151247,-46.62235967583239,SAO PAULO,SP,15989,ce42625f9c07335b024dd1a1e8a6fc9e
182343,1523,-23.56366379462169,-46.61929091188178,SAO PAULO,SP,15990,fb62d928d6792220442f770dce17a56c
182478,1506,-23.56180273327946,-46.63479182904371,SAO PAULO,SP,15992,7bb9480c1d5413975d01c3caefbfb081
182658,1518,-23.558930444630374,-46.62292373757862,SAO PAULO,SP,15993,6fdf60c9637a27c8b542aa6bd3921eb4
182681,1510,-23.55619865667379,-46.63344748251487,SAO PAULO,SP,15995,7808689ebbb205dfe2aab1d6b8dcf0d4
182757,1537,-23.569022776299825,-46.62199066665712,SAO PAULO,SP,15996,eb545dff3d570e77ccfdef726b704622
182933,1529,-23.57051384263371,-46.6364347178718,SAO PAULO,SP,15997,78617a723b4d69cf675ae0719ac052ed
184733,1531,-23.570124170696488,-46.63265515860704,SAO PAULO,SP,15998,808c3ef691a670d41d1e3ade30740cb8
