,geolocation_id,geolocation_lat,geolocation_lng,city,state,id,seller_id
1655,1257,-23.54507217346644,-46.68438057799065,SAO PAULO,SP,3291,1bb2bdb95f4841f1bba2c0d2cd83d3c9
1752,1226,-23.534478565641404,-46.65502761740432,SAO PAULO,SP,3295,e908c0f3646e8b60375734a350d95d71
1915,1220,-23.542757999999992,-46.64547398167813,SAO PAULO,SP,3297,f1198c871e0171278b63f40d112caeec
2069,1223,-23.54377251788917,-46.6482729970858,SAO PAULO,SP,3298,7e959205cebc10adefcb331f934238a4
2233,1222,-23.547159576461446,-46.64989460560333,SAO PAULO,SP,3308,8bd0f31cf0a614c658f6763bd02dea69
2378,1244,-23.54499336358131,-46.65968022344037,SAO PAULO,SP,3313,7994081388d55b9cf976c050653dd359
2477,1238,-23.54195269441404,-46.65931762155928,SAO PAULO,SP,3314,f00f5b35d0abcacbdd863672f4bb2c1a
2641,1224,-23.541718547319537,-46.64883066180968,SAO PAULO,SP,3322,bf00385a5f7fc1ef39a13c2e9ee50a5f
2810,1215,-23.537982300854097,-46.64927618235323,SAO PAULO,SP,3331,a7b7354cc588f7566a848bcbb1ce3d96
2920,1239,-23.548781693029053,-46.65745981155857,SAO PAULO,SP,3334,04e38a233f726ef161074ab1c9b0399a
3072,1201,-23.53435725950717,-46.64935629739165,SAO PAULO,SP,3342,610f72e407cdd7caaa2f8167b0163fd8
3204,1210,-23.540860990564934,-46.64385528059898,SAO PAULO,SP,3372,e2a1ac9bf33e5549a2a4f834e70df2f8
3244,1212,-23.537511255832708,-46.63705730743676,SAO PAULO,SP,3378,8b321bb669392f5163d04c59e235e066
3325,1233,-23.540299470713855,-46.66278360519932,SAO PAULO,SP,3391,e5a38146df062edaf55c38afa99e42dc
3422,1209,-23.539446764643067,-46.639378335968615,SAO PAULO,SP,3406,1967a9e2ad6f51802b093147d861df58
3584,1206,-23.535535799324883,-46.64305202830518,SAO PAULO,SP,3413,f3c38ab652836d21de61fb8314b69182
3614,1207,-23.536840620318525,-46.640393035807016,SAO PAULO,SP,3431,d6cd01c59123df02fc226eadbadb5f89
3676,1208,-23.540822507357586,-46.6397147149576,SAO PAULO,SP,3500,70c4eedec9cb4a85cda2f3f9673557b4
3754,1254,-23.54196785483874,-46.68191419135562,SAO PAULO,SP,3508,b6f52e346160519c24a23af05410ad32
3793,1303,-23.55001132944774,-46.64818240521669,SAO PAULO,SP,7694,f0ec6a2adb05c62655a26dd347b8dede
4125,1309,-23.557323688585655,-46.65692890729416,SAO PAULO,SP,7695,5f0057b677eb963672bf05dfa3f16c34
4240,1310,-23.556926913670807,-46.6615417904381,SAO PAULO,SP,7696,67883baaae6134ee81b271a542613728
4710,1314,-23.550271219805023,-46.641530430203645,SAO PAULO,SP,7702,70f7e8018e3d46c748c92f026aa2585a
4783,1319,-23.55156260866176,-46.64021297307979,SAO PAULO,SP,7717,18a349e75d307f4b4cc646a691ed4216
4963,1311,-23.560566359426364,-46.65761042867444,SAO PAULO,SP,7789,74bafed391319577bce6f4d2acc0589a
5581,1320,-23.557337937272795,-46.63877749362335,SAO PAULO,SP,7818,7d7866a99a8656a42c7ff6352a433410
5610,1421,-23.562331512897508,-46.66120425339033,SAO PAULO,SP,11391,e627629ba868740e287800f1a9be81c2
5720,1403,-23.57034735804139,-46.65315099653755,SAO PAULO,SP,11392,e3e290b38963293022cdcd6db8328103
6282,1411,-23.568546850380155,-46.66483313596545,SAO PAULO,SP,11394,c8e135e7b21ecbc36c1153a29d2f5a06
6394,1452,-23.56883153079836,-46.69199439364803,SAO PAULO,SP,11396,3ef37b7ca6dd2b80bd8af81a62504996
6547,1417,-23.48850962531019,-46.714606281435714,SAO PAULO,SP,11398,7f02656561b680def9986c0795a8a080
6633,1408,-23.569438714409333,-46.66342129141903,SAO PAULO,SP,11399,5721089ba9214e80074f27d5a03fc0eb
6754,1420,-23.56851813765943,-46.65191532569683,SAO PAULO,SP,11423,1c83418358f249c9d6affa52d579db0e
6921,1425,-23.572330354982963,-46.66082327699232,SAO PAULO,SP,11473,698624c6632eeba1774924dbea24c700
7051,1511,-23.555682314184303,-46.63309991286275,SAO PAULO,SP,15975,7d76b645482be4a332374e8223836592
7124,1529,-23.569353157366287,-46.63690014002537,SAO PAULO,SP,15978,768a86e36ad6aae3d03ee3c6433d61df
7275,1539,-23.573782561198005,-46.62058066708981,SAO PAULO,SP,15979,6e386f64c84e482f0b9abf960797ee1b
7311,1550,-23.57203616319466,-46.61521226741304,SAO PAULO,SP,16008,5f3ae9136c875522250f8184f253413a
7381,1541,-23.568722298084143,-46.61880092397124,SAO PAULO,SP,16010,9523fb39dd240aa958e040f8183d64f3
7451,1545,-23.581373061053768,-46.6178758329102,SAO PAULO,SP,16011,a513150f33f99a06569e9cd5c4bb889b
7543,1547,-23.58202355453289,-46.62322245045877,SAO PAULO,SP,16017,0bf0150d5b9d60d9cd2906003332f085
7572,1530,-23.586145389375964,-46.72796029067322,SAO PAULO,SP,16030,968268a686aa05d1f529fb07dff08130
7652,1512,-23.553644898695826,-46.63261889578163,SAO PAULO,SP,16111,bbad7e518d7af88a0897397ffdca1979
7735,1552,-23.573835900917526,-46.61101337290079,SAO PAULO,SP,16118,8bdd8e3fd58bafa48af76b2c5fd71974
7794,2035,-23.500395,-46.62233251442673,SAO PAULO,SP,19075,c004e5ea15737026cecaee0447e00b75
7845,2034,-23.50412273877685,-46.6246075311652,SAO PAULO,SP,19076,63b464dbf392c7b80d12d932fa7cafed
7887,2022,-23.50623786745398,-46.64043238758518,SAO PAULO,SP,19077,da2782c804606d2a5d8e1760dbb3e7ec
8031,2066,-23.508759080212357,-46.602973042876144,SAO PAULO,SP,19081,1eade46fba20122dc4aefb379f8c636b
8179,2030,-23.504769581649203,-46.62470303231384,SAO PAULO,SP,19083,821fb029fc6e495ca4f08a35d51e53a5
8189,2016,-23.50097763469062,-46.62712333406575,SAO PAULO,SP,19104,7b07b3c7487f0ea825fc6df75abd658b
8231,2040,-23.489022991949916,-46.62186690299499,SAO PAULO,SP,19109,c8660dcf9ba70575f45d80fe28c27713
8286,2051,-23.51226773910784,-46.60874803052688,SAO PAULO,SP,19116,5444b12c82f21c923f2639ebc722c1ea
8310,2013,-23.5030857485429,-46.63382294171621,SAO PAULO,SP,19135,c542f5a8c64d973f30e9df8d06f70b4a
8427,2047,-23.51836389286744,-46.61420872522939,SAO PAULO,SP,19155,7bcd7c5f8631701474db233ccf1c094b
8433,2036,-23.50210750375091,-46.62196127699232,SAO PAULO,SP,19208,87d30a6a0cbf89356e49324971ab1d24
8480,2050,-23.51654350320264,-46.61056315903973,SAO PAULO,SP,19252,0936e1837d0c79253456bbb2ffaaef10
8524,2028,-23.50751845268047,-46.6174707485429,SAO PAULO,SP,19273,4371b634e0efc0e22b09b52907d9d469
8533,2150,-23.495750203445063,-46.56850788842403,SAO PAULO,SP,21491,55d3daac7c404d59e51c2aa2f4dc5a23
8548,2134,-23.499318080212344,-46.578124372468125,SAO PAULO,SP,21499,643214e62b870443ccbe55ab29a4dccf
8581,2117,-23.52019456333894,-46.593538927981854,SAO PAULO,SP,21501,07d75e33f2750d97d467fb57e4dfdd8a
8621,2119,-23.513593871775623,-46.59299115736628,SAO PAULO,SP,21502,f1c1ac3f3efc07e659c035008e615e66
8650,2124,-23.50636475575626,-46.58066375575627,SAO PAULO,SP,21504,079d295dcbf06ee8bb1b65ba964eb2b6
8802,2110,-23.52188843014645,-46.59374225679054,SAO PAULO,SP,21508,6219ba2359cfb97f2e38fd4c321eb309
8820,2112,-23.512668178041054,-46.58665534166385,SAO PAULO,SP,21522,4deebb3199eeafb282ae33229144f94b
8866,2189,-23.507621497085808,-46.56616243450284,SAO PAULO,SP,21533,8fdca8e349553f99bc738833a62c8802
8880,2122,-23.513172191788303,-46.58263962184772,SAO PAULO,SP,21609,55c96925041a14097b6a7825554f4ad5
8913,2118,-23.51661167998731,-46.59476458159733,SAO PAULO,SP,21615,de09d00cfc265b8804c7df34075a68fa
8929,2113,-23.51528796497884,-46.58734465236856,SAO PAULO,SP,21631,5def4c3732941a971cba8fdee992ede1
8953,2116,-23.522700069940573,-46.58754575881468,SAO PAULO,SP,21728,72c73be2b085b9d57650dd53eb2004c9
8966,2238,-23.47019809031553,-46.56484109288583,SAO PAULO,SP,23118,d93b8458c6fe139d85cfa5eadbf55bd2
9028,2261,-23.46735986594724,-46.57715992131685,SAO PAULO,SP,23120,e9e446d01bd10a97a8ffcfc4a3a20cb2
9062,2215,-23.491089052455425,-46.5850818805182,SAO PAULO,SP,23130,5cf1ec37aea089f45110c70653a166ab
9146,2274,-23.46824404524207,-46.585030834727874,SAO PAULO,SP,23144,ba143b05f0110f0dc71ad71b4466ce92
9162,2220,-23.490745910352587,-46.57794383819032,SAO PAULO,SP,23148,570d4583587a5fe2d47c7be89b91ad27
9228,2265,-23.47651943519532,-46.59554967707312,SAO PAULO,SP,23152,2e13c71026e1a39ba5cc1b86dcb679aa
9263,2242,-23.488133029141903,-46.60765995712386,SAO PAULO,SP,23157,d4e12e7884759a14fa0f5f896c791cae
9342,2279,-23.46048082737028,-46.57585219747245,SAO PAULO,SP,23165,1fddcb7b326905d3ad5efe82187db347
9381,2258,-23.47623536441803,-46.58210664723873,SAO PAULO,SP,23176,e0a366315b1b726b6c7832d664c0f530
9411,2236,-23.474632525679453,-46.56894074606139,SAO PAULO,SP,23178,99a25c39b28a74d1151c35c18d178292
9451,2281,-23.44917893415549,-46.57435094932181,SAO PAULO,SP,23223,44f091b5abab8018f682fce8124b85e5
9504,2252,-23.479316999999995,-46.5904340471753,SAO PAULO,SP,23494,cab85505710c7cb9b720bceb52b01cee
9519,2316,-23.462010764197984,-46.59467629700311,SAO PAULO,SP,26030,b5f0712d22a873b6797ab6cc65c3fcba
9570,2334,-23.48496374049282,-46.61933914432453,SAO PAULO,SP,26042,4ea2f12dbe91deeacd2c1e74f069a6e6
9625,2372,-23.45903597238433,-46.623704148839465,SAO PAULO,SP,26047,ace601496e211a664100321f038f50af
9668,2337,-23.476470349154592,-46.61274240660166,SAO PAULO,SP,26075,4f40d2ed38d1cc945364a7cd202a82c7
9692,2350,-23.459346031363605,-46.60929309103239,SAO PAULO,SP,26088,1b7e5006cb25dd23ce8686691013b121
9724,2376,-23.458526276992316,-46.62665931349181,SAO PAULO,SP,26102,2f74af7a0ee5636f12c2336f9fffed47
9747,2310,-23.4719444074384,-46.59864459256161,SAO PAULO,SP,26122,0692610d8abe24f287e9fae90ea0bbee
10071,2320,-23.44947679294825,-46.59791907646144,SAO PAULO,SP,26136,e0482f2c769468c3bbcd8a01e09d98c5
10093,2336,-23.48058427061568,-46.61935382292688,SAO PAULO,SP,26191,808d4348b916efa08e766ebad39f61eb
10144,2422,-23.47001485567546,-46.63484579309249,SAO PAULO,SP,28618,9bc484c87d79cd4874e05ca182658045
10256,2415,-23.47193716763806,-46.62999953941368,SAO PAULO,SP,28632,d7b2377bae6ace1b11fc69a11900ac36
10385,2443,-23.472335179294816,-46.64636526449883,SAO PAULO,SP,28654,8a32e327fe2c1b3511609d81aaf9f042
10465,2407,-23.48535959449485,-46.624283978908174,SAO PAULO,SP,28674,f3da5b2ff499efb8d4a6d371d175d7dd
10514,2470,-23.48415445322872,-46.64868009824575,SAO PAULO,SP,28682,41b86b552e54e3a7009596125aa8b167
10548,2475,-23.481059081597326,-46.64630746073055,SAO PAULO,SP,28690,431050a06a317f2b38168dec3dcd2b46
10598,2451,-23.50032232672679,-46.64104366534537,SAO PAULO,SP,28723,3a1a1fec38dd360f15fc912e821e169d
10650,2411,-23.47416101610016,-46.62516585290548,SAO PAULO,SP,28880,a45765f8afb1e594b22bf9e974b46765
10679,2565,-23.486109347919744,-46.66826821319252,SAO PAULO,SP,31796,e6ffc9ac6a7adc9d16a1cfc2286dd546
10716,2522,-23.50302551457095,-46.656351,SAO PAULO,SP,31798,3a3e46d10f74d8a6ca76e2b538f106a0
10760,2544,-23.49027291257428,-46.66072145905712,SAO PAULO,SP,31808,7adbd3210a7b3cc2235e225eef33574d
10775,2510,-23.51370739463197,-46.65262935449776,SAO PAULO,SP,31817,2b03ac196f5ed62ac483960fe0fa3b65
10798,2518,-23.508810312539527,-46.66650083042868,SAO PAULO,SP,31818,830379336fad8c6f3b15a4a3ddb5c66e
10915,2537,-23.49266694338963,-46.649278230509495,SAO PAULO,SP,31827,bf84056e679dbe9c69929847a40e338f
10972,2562,-23.48576555759132,-46.67394941548847,SAO PAULO,SP,31846,9e7c5f4d7770eab65738cca38f9efccf
11008,2515,-23.510081986121538,-46.65907867000398,SAO PAULO,SP,31890,0bebbb2cea103a4a020c95d43fd7d754
11026,2523,-23.507503407438392,-46.654613565497165,SAO PAULO,SP,31923,134285d1f41da5c13a756ee8142c8a4e
11059,2532,-23.49592311073923,-46.66043045184373,SAO PAULO,SP,32015,1acde099eb406aa220b1169b188b42da
11089,2610,-23.47592805522538,-46.66587696517395,SAO PAULO,SP,33712,77128dec4bec4878c37ab7d6169d6f26
11118,2611,-23.46658982202164,-46.63928171838316,SAO PAULO,SP,33730,79a679c36c08d606b3fd47ead9de109b
11416,2634,-23.46016520927345,-46.65066418373822,SAO PAULO,SP,33759,d12c926d74ceff0a90a21184466ce161
11463,2614,-23.4717225298344,-46.65764092339433,SAO PAULO,SP,33776,119c7f1a00ef43fad0e57604e76a747c
11492,2739,-23.485809164031377,-46.68889056841136,SAO PAULO,SP,34954,cc1f04647be106ba74e62b21f358af25
11523,2710,-23.50751688121068,-46.67373228420568,SAO PAULO,SP,34955,5d043cd5512d4bd2f88e5ccdd5736c38
11576,2751,-23.489584790770785,-46.68192027136849,SAO PAULO,SP,34957,c714262700f93defc16bf17a51a4cb23
11618,2752,-23.495997921014894,-46.68376870640487,SAO PAULO,SP,34960,aac51c486b672a9850d59f3e84b1cf88
11641,2755,-23.48851771357262,-46.67941015751051,SAO PAULO,SP,34966,8f0fbe2cd4d472157dc1cdef6edecaa9
11661,2727,-23.496255366639726,-46.68632056549718,SAO PAULO,SP,35002,70b52a4cfc823994561b00bad161b4ed
11682,2737,-23.48783178573488,-46.6888785663339,SAO PAULO,SP,35133,1b0b0f4f95e962d6f32fe90c759d0479
11731,2750,-23.493106676380638,-46.679616398003326,SAO PAULO,SP,35451,7caa63f175b1cecbfaadd8b5ab9998c7
11741,2820,-23.445022995005957,-46.70898743370049,SAO PAULO,SP,36539,2e7ea2aafec5835e781b21d6d1faf1f1
11762,2804,-23.48381025284207,-46.69528157314321,SAO PAULO,SP,36551,20d83f3ef0e6925fd74bfd59170babf7
11833,2839,-23.47666615958798,-46.68147008895491,SAO PAULO,SP,36556,6a8a889bde935bafa76d7848782dfaf9
11871,2873,-23.45900988018955,-46.68595580638013,SAO PAULO,SP,36566,6cf476a4ca74498db55cbccdaa9dcfb6
11922,2880,-23.46663960421836,-46.67256167638064,SAO PAULO,SP,36626,3dc69bf2c42f0568a5c4791ec3fd3745
11966,2851,-23.45847600721336,-46.6916433949449,SAO PAULO,SP,36642,84c945f15571830c1a91a33978e94009
12010,2992,-23.44911744240868,-46.72509081502104,SAO PAULO,SP,38674,2d518637f53161b973e01f56ea4bb88e
12079,2976,-23.478102779882025,-46.71737617425583,SAO PAULO,SP,38676,1a932caad4f9d804097d7f8e615baed1
12143,2969,-23.48615388842405,-46.71456818137228,SAO PAULO,SP,38685,89bc797e2e29667aa035d4368f9b7f92
12168,2929,-23.49086602208629,-46.706045409257214,SAO PAULO,SP,38715,1e483cc5c76fef08d3ca05f9a8af7d01
12214,2918,-23.49774396910117,-46.716125492041655,SAO PAULO,SP,38719,499ec63c58e51296c9cf57edcfe1c8a8
12258,2968,-23.476825130734543,-46.70526423521269,SAO PAULO,SP,38742,db6a4d4b5f1f5f98820ce6ce2619e2de
12305,2941,-23.47943470191586,-46.723279934502834,SAO PAULO,SP,38763,74636e24f01da9268b0ed88dacd8513e
12324,2972,-23.48029674271453,-46.71122495337295,SAO PAULO,SP,38799,1c129092bf23f28a5930387c980c0dfc
12334,2925,-23.50257293484837,-46.69754189370448,SAO PAULO,SP,38808,07a9bc7f61396b658ddf3ac534efe44c
12455,2963,-23.485755415382435,-46.70221321730524,SAO PAULO,SP,38864,bd4889b5e9133b35b66e42a8665cea5c
12476,2916,-23.488245329634296,-46.72037106432417,SAO PAULO,SP,38974,5a4236931428800e9d9cc04af0987118
12494,2955,-23.468440512490595,-46.72068807496815,SAO PAULO,SP,39209,b561927807645834b59ef0d16ba55a24
12511,3060,-23.53813408465576,-46.58549886150382,SAO PAULO,SP,41524,eae9af4811c294c56795d70e715b7337
12573,3018,-23.53174394892955,-46.61395302123605,SAO PAULO,SP,41530,71039d19d4303bf9054d69e9a9236699
12611,3029,-23.528716250620374,-46.62026515958797,SAO PAULO,SP,41535,e1c76f339ebd5460999f25a2aa8c92c5
12695,3064,-23.530940192076763,-46.55746126879801,SAO PAULO,SP,41537,139157dd4daa45c25b0807ffff348363
12839,3057,-23.54257772745109,-46.59338016847479,SAO PAULO,SP,41538,f44b6f775a2b390380e0e30b5c9d3eee
12894,3009,-23.53660055453289,-46.61990119900168,SAO PAULO,SP,41543,e9b6c33b71b67737693b4cfa68341c8d
12918,3065,-23.53638432361936,-46.57920289454089,SAO PAULO,SP,41544,d26aa40b90272d4843d63be7c1462c8d
12978,3077,-23.52926356396796,-46.577290279358245,SAO PAULO,SP,41545,0bb27263628258b8111a0262769fa9db
13083,3059,-23.54279940605341,-46.595165217323526,SAO PAULO,SP,41548,87d3c3aeb3ead335511b3ce315eb341e
13259,3062,-23.54268733028447,-46.59453248320733,SAO PAULO,SP,41551,ae45df84722b1d15c5f32b23a095746c
13293,3063,-23.530453669715538,-46.55620020996593,SAO PAULO,SP,41552,f783a638e9c6af4a7d0dbfde811e7a81
13345,3052,-23.5413525745282,-46.609555379681474,SAO PAULO,SP,41553,8d92f3ea807b89465643c219455e7369
13371,3087,-23.5300706924808,-46.56414335887811,SAO PAULO,SP,41565,c6bda72e4dbf5c5866b13cb1810c6d03
13437,3001,-23.54138387625104,-46.6140494458142,SAO PAULO,SP,41586,b9ca8e8baa5d4aa038394a700f63e69f
13466,3006,-23.543135968636395,-46.62371555453289,SAO PAULO,SP,41593,ce27a3cc3c8cc1ea79d11e561e9bebb6
13478,3035,-23.524194342489487,-46.613838068844046,SAO PAULO,SP,41595,3f3486b61f45078d4f31ee5e43d8c5bb
13503,3031,-23.52833381848348,-46.61941011172019,SAO PAULO,SP,41680,49cdc90518a4f82676b38b3c1aa43ff6
13533,3068,-23.537588133504503,-46.56824798211082,SAO PAULO,SP,41698,f125f3a310c2e5f822d116147de1e474
13577,3028,-23.52697217736158,-46.610979191240034,SAO PAULO,SP,41747,cb3dd9ce66268c7a3ca7241ac70ab58c
13593,3017,-23.532447184574945,-46.61401961463438,SAO PAULO,SP,41808,a49928bcdf77c55c6d6e05e09a9b4ca5
13627,3165,-23.56190256174625,-46.58015179808413,SAO PAULO,SP,44720,feb793c88d836c3a75efa4b5a3465d70
13708,3161,-23.58090519677997,-46.56317152651616,SAO PAULO,SP,44723,cea729054f157f5870bdd321a958d994
13770,3111,-23.558072306116813,-46.60586586856825,SAO PAULO,SP,44727,4bfc7a4a1cf8d4d2121c27422d9e50b5
13854,3134,-23.58540069658577,-46.58427399775607,SAO PAULO,SP,44733,9c351405b754cc5ce3e2ecf277bb034a
13951,3186,-23.567258514570952,-46.58312233236194,SAO PAULO,SP,44734,f12ff17ad8bbf01ec5c33b17e506649b
14038,3168,-23.556360816149585,-46.59062464472048,SAO PAULO,SP,44735,134a288e7de827ec5ec62e3ec9c3a295
14110,3124,-23.56786401832186,-46.59242413059029,SAO PAULO,SP,44737,3e35a8bb43569389d3cebef0ce820f69
14184,3184,-23.56336681626177,-46.58636668526744,SAO PAULO,SP,44738,d8bf0fc082fd4a77fc2e5679b6c00133
14249,3191,-23.56910958090484,-46.57235346003806,SAO PAULO,SP,44753,c6a7539d424a8402232c2228d7a03c5e
14297,3182,-23.559519635581964,-46.59033924271452,SAO PAULO,SP,44762,e1643dff33666ca629e3644c02738179
14356,3121,-23.56175985825543,-46.60140647059026,SAO PAULO,SP,44765,89757206b887aed36f3e18d858460fea
14413,3122,-23.569423909804325,-46.59127977921403,SAO PAULO,SP,44771,e72b4feb7abe210c52aa667abc25a3a2
14495,3171,-23.551840970021367,-46.58870301887013,SAO PAULO,SP,44778,5d9f3746e112e696f98ea22c56b3e912
14534,3167,-23.55487039661836,-46.5943762934965,SAO PAULO,SP,44780,4c18691b6037662be2df78a765d98ab5
14586,3106,-23.55770667499565,-46.61476439993657,SAO PAULO,SP,44781,2745f798279e0ed033addcc1474776d7
14624,3185,-23.56351781487679,-46.584379697472464,SAO PAULO,SP,44801,d6ab728cf30867cf3f1a2e216ae2f9b7
14740,3147,-23.59633673965611,-46.56507737454559,SAO PAULO,SP,44816,9fe7c6641c79970ab48185498f547c09
14793,3138,-23.58759692255761,-46.58181527338564,SAO PAULO,SP,44817,0743a0239d764b9a0f959a57d07e36ab
14837,3187,-23.566230979700467,-46.58020347785505,SAO PAULO,SP,44851,8a130737016f838139d31878787a39c9
14883,3126,-23.58067325143878,-46.591568341608856,SAO PAULO,SP,44870,db4350fd57ae30082dec7acbaacc17f9
14929,3103,-23.55428750346245,-46.61269297446478,SAO PAULO,SP,44872,89d9a386b0b6e5fc8403071b03f7206a
14955,3178,-23.55424324701369,-46.584472683594,SAO PAULO,SP,44915,528bcf6680c36dddf07620bd35b33a6f
15047,3172,-23.548274607140105,-46.59015964281348,SAO PAULO,SP,45104,dff87e4de60c9736ce8df835951b09bc
15058,3194,-23.56788988703906,-46.57394821510183,SAO PAULO,SP,48567,76d5af76d0271110f9af36c92573f765
15059,3280,-23.584265203445064,-46.53648617692888,SAO PAULO,SP,49210,024b564ae893ce8e9bfa02c10a401ece
15118,3275,-23.58620844962204,-46.53589144310119,SAO PAULO,SP,49211,f76a3b1349b6df1ee875d1f3fa4340f0
15400,3282,-23.590853517081115,-46.54139756148647,SAO PAULO,SP,49215,dda37071807e404c5bb2a1590c66326f
15486,3236,-23.594918280599003,-46.5541035925616,SAO PAULO,SP,49221,d63f306de130e0391d38a792541723b8
15543,3279,-23.58547197890817,-46.54426644087946,SAO PAULO,SP,49227,7210cd29727d674c00741e5e387b3ccd
15579,3210,-23.601764863046306,-46.54785125728302,SAO PAULO,SP,49230,3ab971ce71839580d2ae5b4e40fe8044
15733,3225,-23.584152991949924,-46.556715300305854,SAO PAULO,SP,49248,a7d0f8dd44f57ef6de7f7f02e3d82630
15774,3211,-23.60262394182404,-46.55136429842682,SAO PAULO,SP,49263,157c3e4b42f81ac4a44e8b1ca2fe9876
15877,3265,-23.59436349708581,-46.54121411518264,SAO PAULO,SP,49264,272f092de69afedd4d2969440b37f18f
15900,3270,-23.602162547319526,-46.52124572898028,SAO PAULO,SP,49268,6dc9bec584588412a6a338830946a3e4
15927,3273,-23.57841833611285,-46.5592068753823,SAO PAULO,SP,49298,99a54764c341d5dc80b4a8fac4eba3fb
15969,3237,-23.59539756425642,-46.55163738273989,SAO PAULO,SP,49305,b76dba6c951ab00dc4edf0a1aa88037e
15999,3204,-23.59798552039933,-46.55547278711988,SAO PAULO,SP,49344,1025f0e2d44d7041d6cf58b6550e0bfa
16027,3244,-23.60627778934156,-46.54062373645344,SAO PAULO,SP,49395,3d4b1ae7539303b5704493798893e82c
16101,3287,-23.59519232500434,-46.53381915834724,SAO PAULO,SP,49428,31561f325664a8a7aba4c8d0c3a9b3db
16135,3318,-23.54446292977097,-46.56591579892085,SAO PAULO,SP,52338,b2eecf5ea250510da76590ca79d60e5d
16249,3343,-23.55990858451152,-46.56932063336026,SAO PAULO,SP,52340,3dfd3dc96f7f8598eca74e9ac8a2fa31
16339,3345,-23.573423597337367,-46.56044110973281,SAO PAULO,SP,52342,0ac4201fda2c68ebc0e47cb9423cf3c9
16400,3322,-23.549660117981254,-46.57027590146579,SAO PAULO,SP,52345,099095b050cfe8eb1ddff5317587e96e
16490,3311,-23.540988782128203,-46.56475255635056,SAO PAULO,SP,52347,5236605f4d4b0b3e4df85b850393fca0
16552,3382,-23.58004481127011,-46.52972381848346,SAO PAULO,SP,52353,a080fc8a850289b27500f6b49cca2553
16583,3363,-23.56109093672453,-46.53888007660566,SAO PAULO,SP,52360,1cbd32d00d01bb8087a5eb088612fd9c
16620,3319,-23.543870857060437,-46.55735807729814,SAO PAULO,SP,52371,ff4e2d38692ce827b1a4f4b8196e680d
16742,3304,-23.54489718096826,-46.57777159631251,SAO PAULO,SP,52383,d9e7e7778b32987280a6f2cb9a39c57d
16762,3333,-23.556849999163276,-46.56941527477062,SAO PAULO,SP,52388,00ee68308b45bc5e2660cd833c3f81cc
16849,3308,-23.540691446852072,-46.57315915849145,SAO PAULO,SP,52389,bee36b4f9a2b9fdcaff6ec05df202ed0
16930,3303,-23.545741270669254,-46.5926468408794,SAO PAULO,SP,52408,2646baaf662d4d92ac48f047e35db92d
